id,company,website,location,hall,stand,contact_person,email,phone,description,products,certifications,source_search_term,source_url,relevant_goals,relevant_departments,relevant_materials,priority_score,visit_priority,company_type,meeting_requested,meeting_scheduled,meeting_completed,meeting_notes,meeting_date,samples_requested,samples_received,brochures_collected,quotes_requested,why_relevant,strengths,weaknesses,potential_value,created_at,updated_at,logo,contact,notes,contact_persons,company_data_popup,profile_url,map_link,booth_details,products_detailed,certifications_detailed,relevance_status,relevance_score,must_visit,visit_day,visit_time_slot,physical_location,similarity_tags,marked_by,marked_at,category,where_they_present,claude_analysis,balena_value,strategic_importance,connection_type,confidence_score,key_factors,red_flags,department,goal_category,website_title,about_us,products_services,sustainability_info,contact_info,website_phones,meta_description,website_emails
1058,MOCOM Compounds GmbH & Co. KG,,Hall 6 / A62,,,,,,,,,bio-based plasticizer,https://www.k-online.com/vis/v1/en/search?_query=bio-based+plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"MOCOM Compounds GmbH & Co. KG is a manufacturer of sustainable and biodegradable plastic compounds, which aligns with Balena's goals of developing circular economy solutions and sustainable plastics. They could be a potential supplier or partner for Balena's BioCir® family of products.",,,,2025-09-04 06:08:54.504511,2025-09-04 06:08:54.504511,,,,,,https://www.k-online.com/vis/v1/en/search?_query=bio-based+plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""MOCOM Compounds GmbH & Co. KG is a manufacturer of sustainable and biodegradable plastic compounds, which aligns with Balena's goals of developing circular economy solutions and sustainable plastics. They could be a potential supplier or partner for Balena's BioCir® family of products."", 'department': 'Operations', 'category': 'Suppliers', 'score': 80}",,,,,,,Operations,Suppliers,,,,,,,,
1059,ADVANCED & FUNCTIONAL TECHNOLOGIES FOR BIOCOMPOSITES S.L.,,Hall 8a / C34,,,,,,,,,bio-based plasticizer,https://www.k-online.com/vis/v1/en/search?_query=bio-based+plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"ADVANCED & FUNCTIONAL TECHNOLOGIES FOR BIOCOMPOSITES S.L. is a company that develops and manufactures biocomposite materials, which aligns with Balena's goals of creating sustainable, biodegradable, and bio-based solutions. This could be a valuable partnership for Balena to explore.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=bio-based+plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""ADVANCED & FUNCTIONAL TECHNOLOGIES FOR BIOCOMPOSITES S.L. is a company that develops and manufactures biocomposite materials, which aligns with Balena's goals of creating sustainable, biodegradable, and bio-based solutions. This could be a valuable partnership for Balena to explore."", 'department': 'R&D', 'category': 'Materials', 'score': 80}",,,,,,,R&D,Materials,,,,,,,,
1060,AGRANA Stärke GmbH,,Hall 5 / F30-04,,,,,,,,,bio-based plasticizer,https://www.k-online.com/vis/v1/en/search?_query=bio-based+plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"AGRANA Stärke GmbH is a leading producer of starch-based products, which could be a potential source of bio-based materials for Balena's BioCir® family of thermoplastic elastomers. As a supplier of sustainable raw materials, AGRANA could help Balena expand its portfolio of bio-based and biodegradable solutions.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=bio-based+plasticizer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""AGRANA Stärke GmbH is a leading producer of starch-based products, which could be a potential source of bio-based materials for Balena's BioCir® family of thermoplastic elastomers. As a supplier of sustainable raw materials, AGRANA could help Balena expand its portfolio of bio-based and biodegradable solutions."", 'department': 'R&D', 'category': 'Materials', 'score': 80}",,,,,,,R&D,Materials,,,,,,,,
1061,ASAHI KASEI EUROPE GmbH,,Hall 8a / E23,,,,,,,,,bio-based plasticizer,https://www.k-online.com/vis/v1/en/search?_query=bio-based+plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"ASAHI KASEI EUROPE GmbH is a leading manufacturer of high-performance materials, including biodegradable and bio-based polymers, which could be a valuable partner for Balena's development of sustainable thermoplastic elastomers.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=bio-based+plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""ASAHI KASEI EUROPE GmbH is a leading manufacturer of high-performance materials, including biodegradable and bio-based polymers, which could be a valuable partner for Balena's development of sustainable thermoplastic elastomers."", 'department': 'R&D', 'category': 'Materials', 'score': 90}",,,,,,,R&D,Materials,,,,,,,,
1062,B4Plastics BVBA,,Hall 8b / H24,,,,,,,,,bio-based plasticizer,https://www.k-online.com/vis/v1/en/search?_query=bio-based+plasticizer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"B4Plastics BVBA is a company that specializes in the development and production of biodegradable and compostable plastics, which aligns with Balena's goals of circular economy and sustainable plastics solutions. They could be a potential partner for Balena in sourcing bio-based materials and certified compostable solutions.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=bio-based+plasticizer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""B4Plastics BVBA is a company that specializes in the development and production of biodegradable and compostable plastics, which aligns with Balena's goals of circular economy and sustainable plastics solutions. They could be a potential partner for Balena in sourcing bio-based materials and certified compostable solutions."", 'department': 'R&D', 'category': 'Materials', 'score': 90}",,,,,,,R&D,Materials,,,,,,,,
1063,ELASTRON KIMYA SAN. VE TIC. A.Ş. Elastron TPE,,Hall 6 / C10,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Elastron TPE is a manufacturer of thermoplastic elastomers, which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. This could be a potential partnership opportunity for Balena to explore sustainable material solutions.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""Elastron TPE is a manufacturer of thermoplastic elastomers, which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. This could be a potential partnership opportunity for Balena to explore sustainable material solutions."", 'department': 'Commercial', 'category': 'Partners', 'score': 80}",,,,,,,Commercial,Partners,,,,,,,,
1064,KRAIBURG TPE GmbH & Co. KG,,Hall 6 / C58-03,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"KRAIBURG TPE is a leading manufacturer of thermoplastic elastomers (TPEs), which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. Their expertise in this area could be valuable for Balena's product development and partnerships.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""KRAIBURG TPE is a leading manufacturer of thermoplastic elastomers (TPEs), which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. Their expertise in this area could be valuable for Balena's product development and partnerships."", 'department': 'R&D', 'category': 'Materials', 'score': 90}",,,,,,,R&D,Materials,,,,,,,,
1065,"Nordmann, Rassmann GmbH - Nordmann",,Hall 6 / E75,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Nordmann, Rassmann GmbH is a leading distributor of specialty chemicals and ingredients, including bio-based and sustainable materials. As Balena is focused on developing biodegradable and bio-based thermoplastic elastomers, Nordmann could be a valuable partner in sourcing the necessary raw materials and ingredients to support Balena's R&D and product development efforts.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""Nordmann, Rassmann GmbH is a leading distributor of specialty chemicals and ingredients, including bio-based and sustainable materials. As Balena is focused on developing biodegradable and bio-based thermoplastic elastomers, Nordmann could be a valuable partner in sourcing the necessary raw materials and ingredients to support Balena's R&D and product development efforts."", 'department': 'R&D', 'category': 'Materials', 'score': 90}",,,,,,,R&D,Materials,,,,,,,,
1066,BENVIC SAS,,Hall 8a / F12,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"BENVIC SAS is a leading European manufacturer of thermoplastic compounds and specialty polymers, including bio-based and biodegradable materials. This aligns well with Balena's focus on developing sustainable, bio-based thermoplastic elastomers for the circular economy.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""BENVIC SAS is a leading European manufacturer of thermoplastic compounds and specialty polymers, including bio-based and biodegradable materials. This aligns well with Balena's focus on developing sustainable, bio-based thermoplastic elastomers for the circular economy."", 'department': 'Operations', 'category': 'Suppliers', 'score': 90}",,,,,,,Operations,Suppliers,,,,,,,,
1067,ACTEGA GmbH,,Hall 8a / F11-03,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,ACTEGA GmbH is a specialty chemicals company that develops sustainable and eco-friendly solutions for the packaging and printing industries. This aligns well with Balena's goals of developing biodegradable and bio-based thermoplastic elastomers for circular economy and sustainable plastics applications.,,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""ACTEGA GmbH is a specialty chemicals company that develops sustainable and eco-friendly solutions for the packaging and printing industries. This aligns well with Balena's goals of developing biodegradable and bio-based thermoplastic elastomers for circular economy and sustainable plastics applications."", 'department': 'Operations', 'category': 'Suppliers', 'score': 80}",,,,,,,Operations,Suppliers,,,,,,,,
1068,IMCD Deutschland GmbH,,Hall 6 / D28,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"IMCD Deutschland GmbH is a leading specialty chemicals distributor that could provide Balena with access to a wide range of bio-based and sustainable materials, as well as potential partners and clients in the plastics and packaging industries, which aligns with Balena's goals.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""IMCD Deutschland GmbH is a leading specialty chemicals distributor that could provide Balena with access to a wide range of bio-based and sustainable materials, as well as potential partners and clients in the plastics and packaging industries, which aligns with Balena's goals."", 'department': 'Operations, R&D, Commercial', 'category': 'Suppliers, Materials, Partners', 'score': 90}",,,,,,,"Operations, R&D, Commercial","Suppliers, Materials, Partners",,,,,,,,
1069,Gianeco srl,,"Hall 7, level 1 / B08",,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Gianeco srl is a manufacturer of biodegradable and compostable materials, which aligns with Balena's goals of developing sustainable and circular economy solutions. Their expertise in bio-based materials and certified compostable products could be valuable for Balena's R&D efforts.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""Gianeco srl is a manufacturer of biodegradable and compostable materials, which aligns with Balena's goals of developing sustainable and circular economy solutions. Their expertise in bio-based materials and certified compostable products could be valuable for Balena's R&D efforts."", 'department': 'R&D', 'category': 'Materials', 'score': 90}",,,,,,,R&D,Materials,,,,,,,,
1070,Omya GmbH,,Hall 6 / D75,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Omya GmbH is a leading global producer of mineral-based functional fillers and coatings, which could be relevant for Balena's development of biodegradable and bio-based thermoplastic elastomers. Their expertise in sustainable materials and solutions could help Balena enhance the performance and sustainability of its BioCir® family of products.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""Omya GmbH is a leading global producer of mineral-based functional fillers and coatings, which could be relevant for Balena's development of biodegradable and bio-based thermoplastic elastomers. Their expertise in sustainable materials and solutions could help Balena enhance the performance and sustainability of its BioCir® family of products."", 'department': 'R&D', 'category': 'Materials', 'score': 80}",,,,,,,R&D,Materials,,,,,,,,
1071,PLASTORE SRL,,Hall 8b / F53,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"PLASTORE SRL is a manufacturer of machinery and equipment for the plastics industry, which could be highly relevant to Balena's operations as they seek alternative suppliers and machinery to support their production of biodegradable and bio-based thermoplastic elastomers.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""PLASTORE SRL is a manufacturer of machinery and equipment for the plastics industry, which could be highly relevant to Balena's operations as they seek alternative suppliers and machinery to support their production of biodegradable and bio-based thermoplastic elastomers."", 'department': 'Operations', 'category': 'Machinery', 'score': 80}",,,,,,,Operations,Machinery,,,,,,,,
1072,Polyram – MCT Germany GmbH,,Hall 8a / K05,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Polyram – MCT Germany GmbH is a manufacturer of thermoplastic elastomers (TPEs) and thermoplastic polyurethanes (TPUs), which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. They could be a potential partner for Balena to explore collaborations or sourcing of materials.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""Polyram – MCT Germany GmbH is a manufacturer of thermoplastic elastomers (TPEs) and thermoplastic polyurethanes (TPUs), which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. They could be a potential partner for Balena to explore collaborations or sourcing of materials."", 'department': 'Operations', 'category': 'Suppliers', 'score': 80}",,,,,,,Operations,Suppliers,,,,,,,,
1073,Dynasol Group,,Hall 6 / E43,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Dynasol Group is a leading producer of thermoplastic elastomers (TPEs), which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. They could be a potential partner for Balena to explore sustainable and circular solutions for the fashion and footwear industry.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""Dynasol Group is a leading producer of thermoplastic elastomers (TPEs), which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. They could be a potential partner for Balena to explore sustainable and circular solutions for the fashion and footwear industry."", 'department': 'Commercial', 'category': 'Partners', 'score': 80}",,,,,,,Commercial,Partners,,,,,,,,
1074,EFLAYA SRL,https://www.eflaya.com/,Hall 7a / C18,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"EFLAYA SRL is a company that specializes in the development and production of biodegradable and compostable materials, which aligns with Balena's goals of circular economy and sustainable plastics solutions. Their expertise in this area could be valuable for Balena's R&D efforts.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""EFLAYA SRL is a company that specializes in the development and production of biodegradable and compostable materials, which aligns with Balena's goals of circular economy and sustainable plastics solutions. Their expertise in this area could be valuable for Balena's R&D efforts."", 'department': 'R&D', 'category': 'Materials', 'score': 80}",,,,,,,R&D,Materials,Eflaya Polimeri Compound,"CONTATTACI
PER QUALSIASI PROGETTO - +39 045 450 0122",,,,"+39 045 450 0122
,  2021-2025 ",Eflaya è Solution Provider globalmente presente nella produzione di polimeri e compound per l'industria delle materie plastiche.,
1075,Evonik Industries AG,,Hall 6 / D79,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Evonik Industries AG is a leading specialty chemicals company that develops and produces a wide range of bio-based and biodegradable materials, which could be highly relevant to Balena's goals of creating sustainable, circular, and compostable plastic solutions.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""Evonik Industries AG is a leading specialty chemicals company that develops and produces a wide range of bio-based and biodegradable materials, which could be highly relevant to Balena's goals of creating sustainable, circular, and compostable plastic solutions."", 'department': 'R&D', 'category': 'Materials', 'score': 90}",,,,,,,R&D,Materials,,,,,,,,
1076,Joss Elastomers & Chemicals B.V.,,Hall 6 / E36,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Joss Elastomers & Chemicals B.V. is a manufacturer of thermoplastic elastomers, which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. This could be a potential partnership opportunity for Balena to explore.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""Joss Elastomers & Chemicals B.V. is a manufacturer of thermoplastic elastomers, which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. This could be a potential partnership opportunity for Balena to explore."", 'department': 'Commercial', 'category': 'Partners', 'score': 80}",,,,,,,Commercial,Partners,,,,,,,,
1077,Kuraray Europe GmbH,,Hall 7a / D06,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Kuraray Europe GmbH is a leading manufacturer of specialty chemicals, including biodegradable and bio-based polymers, which could be highly relevant to Balena's goals of developing sustainable and compostable plastic solutions.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""Kuraray Europe GmbH is a leading manufacturer of specialty chemicals, including biodegradable and bio-based polymers, which could be highly relevant to Balena's goals of developing sustainable and compostable plastic solutions."", 'department': 'R&D', 'category': 'Materials', 'score': 90}",,,,,,,R&D,Materials,,,,,,,,
1078,LCY Chemical Corp.,,"Hall 7, level 2 / C16",,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"LCY Chemical Corp. is a leading manufacturer of bio-based and biodegradable materials, which aligns with Balena's goals of developing sustainable and circular economy solutions. Their expertise in bio-based materials and plasticizers could be valuable for Balena's R&D efforts.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""LCY Chemical Corp. is a leading manufacturer of bio-based and biodegradable materials, which aligns with Balena's goals of developing sustainable and circular economy solutions. Their expertise in bio-based materials and plasticizers could be valuable for Balena's R&D efforts."", 'department': 'R&D', 'category': 'Materials', 'score': 80}",,,,,,,R&D,Materials,,,,,,,,
1079,Marfran Srl,,Hall 6 / E75,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Marfran Srl is a manufacturer of biodegradable and compostable materials, which aligns with Balena's goals of developing sustainable and circular economy solutions. Their expertise in bio-based and biodegradable plastics could be valuable for Balena's R&D efforts.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""Marfran Srl is a manufacturer of biodegradable and compostable materials, which aligns with Balena's goals of developing sustainable and circular economy solutions. Their expertise in bio-based and biodegradable plastics could be valuable for Balena's R&D efforts."", 'department': 'R&D', 'category': 'Materials', 'score': 80}",,,,,,,R&D,Materials,,,,,,,,
1080,Merit Plastik Kaucuk Ins. San. ve Tic. A.S.,,Hall 8a / C16,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Merit Plastik is a Turkish company that specializes in the production of thermoplastic elastomers (TPEs) and other plastic materials. As Balena is developing biodegradable and bio-based thermoplastic elastomers, Merit Plastik could be a potential partner or supplier for Balena's operations and product development.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""Merit Plastik is a Turkish company that specializes in the production of thermoplastic elastomers (TPEs) and other plastic materials. As Balena is developing biodegradable and bio-based thermoplastic elastomers, Merit Plastik could be a potential partner or supplier for Balena's operations and product development."", 'department': 'Operations', 'category': 'Suppliers', 'score': 80}",,,,,,,Operations,Suppliers,,,,,,,,
1081,"NUREL, S.A.",,Hall 7a / D21,,,,,,,,,TPE,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"NUREL, S.A. is a Spanish company that specializes in the development and production of biodegradable and bio-based polymers, which aligns well with Balena's goals of circular economy and sustainable plastics solutions.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=TPE&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""NUREL, S.A. is a Spanish company that specializes in the development and production of biodegradable and bio-based polymers, which aligns well with Balena's goals of circular economy and sustainable plastics solutions."", 'department': 'Operations', 'category': 'Suppliers', 'score': 90}",,,,,,,Operations,Suppliers,,,,,,,,
1082,FAINPLAST S.r.l.,,Hall 6 / E28,,,,,,,,,thermoplastic elastomer,https://www.k-online.com/vis/v1/en/search?_query=thermoplastic+elastomer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"FAINPLAST S.r.l. is a manufacturer of thermoplastic elastomers, which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. They could be a potential partner or supplier for Balena's BioCir® family of products.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=thermoplastic+elastomer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""FAINPLAST S.r.l. is a manufacturer of thermoplastic elastomers, which aligns with Balena's focus on developing biodegradable and bio-based thermoplastic elastomers. They could be a potential partner or supplier for Balena's BioCir® family of products."", 'department': 'Operations', 'category': 'Suppliers', 'score': 80}",,,,,,,Operations,Suppliers,,,,,,,,
1083,ELASTEVER SAS,,Hall 5 / D04-06,,,,,,,,,thermoplastic elastomer,https://www.k-online.com/vis/v1/en/search?_query=thermoplastic+elastomer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"ELASTEVER SAS is a French company that specializes in the development and production of thermoplastic elastomers (TPEs), which aligns with Balena's focus on biodegradable and bio-based thermoplastic elastomers. Their expertise in this area could be valuable for Balena's product development and formulation.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=thermoplastic+elastomer&f_type=profile,,,,,pending,80,False,,,,,,,,,"{'why': ""ELASTEVER SAS is a French company that specializes in the development and production of thermoplastic elastomers (TPEs), which aligns with Balena's focus on biodegradable and bio-based thermoplastic elastomers. Their expertise in this area could be valuable for Balena's product development and formulation."", 'department': 'R&D', 'category': 'Materials', 'score': 80}",,,,,,,R&D,Materials,,,,,,,,
1084,Polymer-Service PSG GmbH,https://www.polymer-service.de/,Hall 6 / D07,,,,,,,"Technische Kunststoffe
Thermoplastische Elastomere
Hochleistungskunststoffe
Masterbatches & Additive Technische Kunststoffe
Thermoplastische Elastomere
Hochleistungskunststoffe
Masterbatches & Additive",,thermoplastic elastomer,https://www.k-online.com/vis/v1/en/search?_query=thermoplastic+elastomer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"Polymer-Service PSG GmbH is a provider of custom-made polymer compounds and recycling solutions, which could be highly relevant to Balena's goals of developing sustainable and circular plastics solutions. Their expertise in recycling and compounding could help Balena find alternative suppliers and recycling/composting partners.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=thermoplastic+elastomer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""Polymer-Service PSG GmbH is a provider of custom-made polymer compounds and recycling solutions, which could be highly relevant to Balena's goals of developing sustainable and circular plastics solutions. Their expertise in recycling and compounding could help Balena find alternative suppliers and recycling/composting partners."", 'department': 'Operations', 'category': 'Suppliers, Recycling/Composting', 'score': 90}",,,,,,,Operations,"Suppliers, Recycling/Composting",Molding the future - Polymer-Service PSG GmbH,,"Technische Kunststoffe
Thermoplastische Elastomere
Hochleistungskunststoffe
Masterbatches & Additive Technische Kunststoffe
Thermoplastische Elastomere
Hochleistungskunststoffe
Masterbatches & Additive",,"Polymer-Service PSG GmbH
Beckedorfer Bogen 5
21218 Beckedorf-Seevetal
+49 40 30902-400
sales@polymer-service.de Polymer-Service PSG GmbH
Beckedorfer Bogen 5
21218 Beckedorf-Seevetal
+49 40 30902-400
sales@polymer-service.de Polymer-Service PSG GmbH
Beckedorfer Bogen 5
21218 Beckedorf-Seevetal
+49 40 30902-400
sales@polymer-service.de","+49 40 30902-400 , 
07.07.2025
, 
10.04.2025
","Unkompliziert, leistungsstark und widerstandsfähig: Wir haben uns für Sie auf die Herstellung, den Vertrieb und die Beratung rund um technische Kunststoffe, thermoplastische Elastomere, Hochleistungskunststoffe und eine breite Palette von Additiven spezialisiert.","sales@polymer-service.deKontakt, sales@polymer-service.de"
1085,RTP Company,,Hall 8a / H18,,,,,,,,,thermoplastic elastomer,https://www.k-online.com/vis/v1/en/search?_query=thermoplastic+elastomer&f_type=profile,,,,5,MEDIUM,,False,False,False,,,False,False,False,False,"RTP Company is a leading global manufacturer of thermoplastic compounds, including a wide range of bio-based and biodegradable materials. This aligns well with Balena's goals of developing sustainable, bio-based, and compostable plastic solutions, making them a potentially valuable partner.",,,,2025-09-04 06:08:55.025056,2025-09-04 06:08:55.025056,,,,,,https://www.k-online.com/vis/v1/en/search?_query=thermoplastic+elastomer&f_type=profile,,,,,pending,90,False,,,,,,,,,"{'why': ""RTP Company is a leading global manufacturer of thermoplastic compounds, including a wide range of bio-based and biodegradable materials. This aligns well with Balena's goals of developing sustainable, bio-based, and compostable plastic solutions, making them a potentially valuable partner."", 'department': 'Operations', 'category': 'Suppliers', 'score': 90}",,,,,,,Operations,Suppliers,,,,,,,,
